sample	project	haplogroup
HC01457	HGSVC	E1b1b1b2a1a4
HC02666	HGSVC	A1a
HC18989	HGSVC	C1a1a1a1a
HC19384	HGSVC	B2b1
HG00096	HGSVC	R1b1a1b1a1a2c1a1f1a2
HG00358	HGSVC	N1a1a1a1a2a1a1a1a1a
HG00512	HGSVC	O2a2b1a2a1a
HG00621	HPRC	O2a2b1a1a1
HG00673	HPRC	O2a2a1a1a
HG00731	HGSVC	R1b1a1b1a1a2a5
HG01106	HPRC	E1b1b1b1a1
HG01109	HPRC	E1b1b1a1b1a
HG01243	HPRC	R1b1a1b1a1a2a5
HG01258	HPRC	J1
HG01358	HPRC	R1b1a1b1a1a2b1a1
HG01457	HGSVC	E1b1b1b2a1a4
HG01505	HGSVC	R1b1a1b1a1a2c1a4b2d1
HG01596	HGSVC	O2a1b1a1a1a1c
HG01890	HGSVC	A0b
HG01928	HPRC	Q1b1a1a
HG01952	HPRC	Q1b1a1a
HG02011	HGSVC	E1b1a1a1a1c1b
HG02486	HPRC	E1b1a1a1a1c1a1a
HG02492	HGSVC	J2a1a1a2a2b
HG02554	HGSVC	E1b1a1a1a2a1
HG02572	HPRC	E1a2b1a2
HG02666	HGSVC	A1a
HG02717	HPRC	E1b1a1a1a1c2c3a2a
HG02953	HGSVC	E1b1a1a1a2a1
HG03009	HGSVC	H1a1a4b2c1a1a
HG03065	HGSVC	E1b1a1b1
HG03248	HGSVC	E1a2b1a1a1
HG03371	HGSVC	E1b1a1a1a1c1a1a3c1b
HG03456	HGSVC	E1b1a1a1a1c1b
HG03471	HPRC	E1b1a1a1a1c
HG03492	HPRC	R1a1a1b2a1a2c
HG03579	HPRC	G2a2b2a1a1c1a1a2a1
HG03732	HGSVC	R2
NA18534	HGSVC	O1b1a2b1a
NA18989	HGSVC	C1a1a1a1a
NA19239	HGSVC	E1a2a1a1a
NA19317	HGSVC	E1b1a1a1a1c1a1a3a1
NA19331	HGSVC	E1b1b1b2b2a1
NA19347	HGSVC	E1b1a1a1a1c1a1a3a1
NA19384	HGSVC	B2b1
NA19650	HGSVC	R1b1a1b1a1a2b1a1
NA19705	HGSVC	E1b1a1a1a2a1a3b1a1
NA20509	HGSVC	R1b1a1b1a1a2b1a1
NA24385	REF	J1a2a1a2c1a1
